DEPARTAMENTO,PROVINCIA,MUNICIPIO,CODIGO,COD_INE,Captura.ca,Riqueza.es,Abu.rrhh,Ap.suelo,Minero,Piscicol,Turismo,Agro.inten,Agro.exten,Agrosilvo,Ap.fores,Uso.limit,R.actv.prd,Acc.agua,Acc.salud,Acc.edu,Acc.vivien,Acc.EE,Clasifica,porc_i.CSV,latitude,longitude,area_km2,area_ha
Cochabamba,Carrasco,Chimoré,"031204",31204,"27","62","50","61","24","73","64","8","0","0","18","37","11","42","37","39","31","47",Muy Alto,"62",-16.55853,-64.91134,2787.73,278772.71
Beni,Yacuma,Santa Ana,"080401",80401,"16","49","12","65","6","72","9","13","100","24","15","0","10","43","35","36","22","44",Muy Alto,"55",-14.35023,-65.99644,21307.81,2130780.93
La Paz,Caranavi,Caranavi,"022001",22001,"29","64","20","66","38","53","0","0","9","0","13","0","17","44","36","38","29","43",Medio,"39",-15.84485,-67.48787,1553.76,155375.96
Cochabamba,Chapare,Villa Tunari,"031003",31003,"14","39","33","63","22","73","52","26","24","12","18","0","11","42","33","37","30","42",Muy Alto,"58",-16.63459,-65.57184,11175.88,1117587.99
La Paz,Abel Iturralde,San Buena Ventura,"021502",21502,"19","52","12","60","25","72","9","0","1","8","20","0","11","42","30","36","26","44",Medio,"38",-14.25915,-67.74496,2967.29,296729.28
Beni,General Jose Balliv,Rurrenabaque,"080304",80304,"19","54","13","58","7","64","9","7","15","8","17","0","7","41","34","37","29","44",Medio,"38",-14.68862,-67.30571,2519.77,251976.96
Beni,General Jose Balliv,San Borja,"080302",80302,"16","52","12","65","7","70","0","0","25","2","15","0","9","44","34","38","28","45",Medio,"36",-15.00370,-66.80851,8799.08,879907.56
La Paz,Franz Tamayo,Apolo,"020701",20701,"30","69","42","65","52","72","51","3","1","7","16","0","14","44","38","39","28","46",Muy Alto,"59",-14.65857,-68.23266,14235.08,1423507.70
Santa Cruz,Ichilo,Buena Vista,"070401",70401,"27","65","20","74","16","65","11","40","3","3","15","21","37","41","32","35","22","43",Muy Alto,"52",-17.69776,-63.75596,2730.99,273098.58
Santa Cruz,Ichilo,Yapacaní,"070403",70403,"13","33","16","68","11","73","64","18","97","52","15","32","25","45","35","38","26","46",Muy Alto,"78",-16.75125,-64.36236,9617.72,961771.85
Santa Cruz,Sara,Santa Rosa del Sara,"070602",70602,"16","48","17","75","6","73","0","0","0","11","17","0","38","43","32","36","25","45",Medio,"36",-16.65925,-63.83869,4093.47,409346.79
Santa Cruz,Warnes,Okinawa Uno,"070202",70202,"8","56","15","75","9","70","51","9","7","14","10","0","24","43","29","32","22","33",Muy Alto,"49",-17.32277,-62.86555,1033.65,103364.62
Santa Cruz,Obispo Santisteban,Gral. Saavedra,"071002",71002,"9","59","16","70","12","30","10","0","0","4","18","0","30","42","35","37","28","42",Bajo,"32",-17.16817,-63.17627,534.94,53493.94
Santa Cruz,Ñuflo De Chavez,San Julián,"071103",71103,"16","51","12","74","14","72","10","0","4","4","16","0","32","41","34","37","31","44",Medio,"39",-16.79295,-62.81363,5060.05,506005.10
Santa Cruz,Ñuflo De Chavez,San Javier,"071102",71102,"17","52","12","64","6","27","9","22","20","11","18","41","8","45","37","37","27","38",Alto,"42",-16.23375,-62.49087,2273.17,227316.78
Santa Cruz,Velasco,San Miguel,"070302",70302,"13","50","9","74","14","70","0","11","15","3","9","22","0","42","35","37","26","46",Medio,"39",-16.84300,-61.27238,9616.84,961683.88
Santa Cruz,Chiquitos,Roboré,"070503",70503,"15","54","10","72","7","31","70","47","3","12","8","21","27","43","33","37","28","45",Muy Alto,"57",-18.21540,-59.61188,7194.82,719482.23
Beni,Cercado,San Javier,"080102",80102,"15","52","12","71","14","27","9","0","1","0","10","41","8","43","34","38","29","46",Medio,"34",-14.42206,-64.42542,8790.41,879040.80
Santa Cruz,Guarayos,El Puente,"071503",71503,"5","60","12","51","12","33","64","0","0","0","7","0","15","42","35","39","35","44",Medio,"40",-16.14748,-63.48493,7943.99,794398.88
